[GIN] 2018/10/04 - 23:00:08 | 200 |      92.175µs |             ::1 | GET      /apidoc/vendor/prettify/prettify.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      97.534µs |             ::1 | GET      /apidoc/locales/ca.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      40.553µs |             ::1 | GET      /apidoc/locales/de.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      71.108µs |             ::1 | GET      /apidoc/locales/es.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |     160.317µs |             ::1 | GET      /apidoc/locales/fr.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |       89.46µs |             ::1 | GET      /apidoc/locales/nl.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |       44.44µs |             ::1 | GET      /apidoc/locales/ro.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      88.548µs |             ::1 | GET      /apidoc/locales/it.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      54.838µs |             ::1 | GET      /apidoc/locales/pl.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |       44.19µs |             ::1 | GET      /apidoc/locales/pt_br.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      87.447µs |             ::1 | GET      /apidoc/locales/ru.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      47.575µs |             ::1 | GET      /apidoc/locales/vi.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |       39.16µs |             ::1 | GET      /apidoc/locales/tr.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      45.291µs |             ::1 | GET      /apidoc/locales/zh_cn.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      45.191µs |             ::1 | GET      /apidoc/locales/zh.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |     119.805µs |             ::1 | GET      /apidoc/vendor/handlebars.min.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |     146.562µs |             ::1 | GET      /apidoc/vendor/bootstrap.min.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      93.717µs |             ::1 | GET      /apidoc/utils/handlebars_helper.js?v=1538704808735
